"","Inc_month","Site","Location","Depth","Analyte","Spike_µg_L","Mean_Spike_Conc","Volume_lake_water_L","Type","NO2_NO3_mgNL","NH4_mgNL","Conc_ugNLK","pH","Weight_g","AFDM_g","real_icu_hrc","delta_Conc_ugNL","delta_Conc_ugNLhr","water_delta_Conc_ugNLhr","net_delta_Conc_ugNLhr","net_delta_Conc_ugNLhr_OM","flag"
"53","July","BW10m","BW",10,"NO3",100,97.6666666666667,0.025,"sediment",0.059,NA,59,7.95,2.04,0.05138909977,6.11666666666667,-38.6666666666667,-6.32152588555858,3.92764857881137,-10.24917446437,4.98606441358272,FALSE
"54","July","BW10m","BW",10,"NO3",100,97.6666666666667,0.025,"sediment",0.059,NA,59,7.95,2.01,0.05063337771,6.11666666666667,-38.6666666666667,-6.32152588555858,3.92764857881137,-10.24917446437,5.06048328588286,FALSE
"55","July","BW10m","BW",10,"NO3",100,97.6666666666667,0.025,"sediment",0.055,NA,55,7.95,2.01,0.05063337771,6.11666666666667,-42.6666666666667,-6.97547683923706,3.92764857881137,-10.9031254180484,5.38336859556136,FALSE
"56","July","BW10m","BW",10,"NO3",200,223.666666666667,0.025,"sediment",0.118,NA,118,7.95,2.03,0.05113719242,6.11666666666667,-105.666666666667,-17.275204359673,2.74932614555256,-20.0245305052256,9.78961180580668,FALSE
"57","July","BW10m","BW",10,"NO3",200,223.666666666667,0.025,"sediment",0.119,NA,119,7.95,2,0.05038147036,6.11666666666667,-104.666666666667,-17.1117166212534,2.74932614555256,-19.861042766806,9.85533104973376,FALSE
"58","July","BW10m","BW",10,"NO3",200,223.666666666667,0.025,"sediment",0.119,NA,119,7.95,1.97,0.0496257483,6.11666666666667,-104.666666666667,-17.1117166212534,2.74932614555256,-19.861042766806,10.0054122341597,FALSE
"59","July","BW10m","BW",10,"NO3",800,852.333333333333,0.025,"sediment",0.546,NA,546,7.95,1.96,0.04937384095,6.23333333333333,-306.333333333333,-49.144385026738,3.99999999999999,-53.144385026738,26.9091810583242,FALSE
"60","July","BW10m","BW",10,"NO3",800,852.333333333333,0.025,"sediment",0.566,NA,566,7.95,2.03,0.05113719242,6.23333333333333,-286.333333333333,-45.9358288770054,3.99999999999999,-49.9358288770053,24.4126762312606,FALSE
"61","July","BW10m","BW",10,"NO3",800,852.333333333333,0.025,"sediment",0.524,NA,524,7.95,1.96,0.04937384095,6.23333333333333,-328.333333333333,-52.6737967914439,3.99999999999999,-56.6737967914438,28.6962669406439,FALSE
"62","July","BW10m","BW",10,"NO3",1600,1682,0.025,"sediment",1.353,NA,1353,7.95,2.07,0.05214482182,6.23333333333333,-329,-52.7807486631016,4.42748091603053,-57.2082295791321,27.4275697866083,FALSE
"63","July","BW10m","BW",10,"NO3",1600,1682,0.025,"sediment",1.296,NA,1296,7.95,2,0.05038147036,6.23333333333333,-386,-61.9251336898396,4.42748091603053,-66.3526146058701,32.9251082450296,FALSE
"64","July","BW10m","BW",10,"NO3",1600,1682,0.025,"sediment",1.394,NA,1394,7.95,1.99,0.05012956301,6.23333333333333,-288,-46.2032085561497,4.42748091603053,-50.6306894721803,25.2499156346527,FALSE
"65","July","BW10m","BW",10,"NO3",2000,1947,0.025,"sediment",1.69,NA,1690,7.95,2.01,0.05063337771,6.3,-257,-40.7936507936508,34.6055979643766,-75.3992487580274,37.2280362125319,FALSE
"66","July","BW10m","BW",10,"NO3",2000,1947,0.025,"sediment",1.673,NA,1673,7.95,1.98,0.04987765566,6.3,-274,-43.4920634920635,34.6055979643766,-78.0976614564401,39.1446131654657,FALSE
"67","July","BW10m","BW",10,"NO3",2000,1947,0.025,"sediment",1.642,NA,1642,7.95,2.01,0.05063337771,6.3,-305,-48.4126984126984,34.6055979643766,-83.018296377075,40.9899063284687,FALSE
"68","July","GB0.5m","GB",0.5,"NO3",0,0,0.025,"sediment",0.035,NA,35,8.18,2.03,0.008218795193,6.25,35,5.6,1.07969151670951,4.52030848329049,-13.7499121742943,FALSE
